lottery_id,draw_date,draw_number,main_1,main_2,main_3,main_4,main_5,supp_1,supp_2
de_eurojackpot,2026-06-19,,16,27,37,42,45,5,12
de_eurojackpot,2026-06-16,,9,26,29,37,42,1,7
de_eurojackpot,2026-06-12,,2,4,14,18,28,9,11
de_eurojackpot,2026-06-09,,1,14,22,39,48,8,11
de_eurojackpot,2026-06-05,,21,23,44,47,50,1,7
de_eurojackpot,2026-06-02,,2,36,38,40,46,7,8
de_eurojackpot,2026-05-29,,3,20,21,42,49,5,6
de_eurojackpot,2026-05-26,,5,11,23,33,42,10,12
de_eurojackpot,2026-05-22,,5,34,35,42,46,3,5
de_eurojackpot,2026-05-19,,10,36,37,39,47,5,6
de_eurojackpot,2026-05-15,,1,32,33,36,37,7,12
de_eurojackpot,2026-05-12,,7,15,19,28,35,3,11
de_eurojackpot,2026-05-08,,3,17,18,31,41,6,12
de_eurojackpot,2026-05-05,,1,30,33,34,43,5,10
de_eurojackpot,2026-05-01,,10,11,13,16,27,5,7
de_eurojackpot,2026-04-28,,19,20,41,43,46,5,7
de_eurojackpot,2026-04-24,,6,21,29,39,44,1,5
de_eurojackpot,2026-04-21,,31,32,36,39,47,7,8
de_eurojackpot,2026-04-17,,16,31,35,43,44,2,9
de_eurojackpot,2026-04-14,,13,22,32,46,47,6,7
de_eurojackpot,2026-04-10,,1,6,11,18,48,10,12
de_eurojackpot,2026-04-07,,2,4,16,23,27,5,8
de_eurojackpot,2026-04-03,,9,10,18,22,37,1,11
de_eurojackpot,2026-03-31,,5,15,18,20,35,7,8
de_eurojackpot,2026-03-27,,21,23,25,38,40,7,11
de_eurojackpot,2026-03-24,,9,15,23,43,48,3,5
de_eurojackpot,2026-03-20,,2,17,21,25,30,2,6
de_eurojackpot,2026-03-17,,12,13,16,17,37,4,11
de_eurojackpot,2026-03-13,,7,23,37,44,47,2,6
de_eurojackpot,2026-03-10,,2,3,17,18,28,4,10
de_eurojackpot,2026-03-06,,8,17,26,31,47,1,6
de_eurojackpot,2026-03-03,,1,9,14,35,49,2,10
de_eurojackpot,2026-02-27,,7,17,19,28,47,2,7
de_eurojackpot,2026-02-24,,4,5,26,38,48,2,9
de_eurojackpot,2026-02-20,,11,17,23,36,40,5,6
de_eurojackpot,2026-02-17,,8,23,39,40,44,6,7
de_eurojackpot,2026-02-13,,1,21,44,45,46,2,7
de_eurojackpot,2026-02-10,,12,19,34,39,47,4,5
de_eurojackpot,2026-02-06,,8,14,38,41,48,1,11
de_eurojackpot,2026-02-03,,3,20,27,37,44,1,2
de_eurojackpot,2026-01-30,,8,13,15,17,37,3,7
de_eurojackpot,2026-01-27,,13,18,19,29,32,8,9
de_eurojackpot,2026-01-23,,18,36,39,45,50,6,9
de_eurojackpot,2026-01-20,,16,26,32,37,45,2,3
de_eurojackpot,2026-01-16,,8,16,37,39,48,5,11
de_eurojackpot,2026-01-13,,2,16,27,33,47,6,12
de_eurojackpot,2026-01-09,,1,17,19,25,41,6,12
de_eurojackpot,2026-01-06,,21,23,30,33,38,8,12
de_eurojackpot,2026-01-02,,10,15,29,34,38,2,9
de_eurojackpot,2025-12-30,,10,18,20,23,27,1,6
de_eurojackpot,2025-12-26,,15,21,26,29,42,4,12
de_eurojackpot,2025-12-23,,24,29,35,40,41,6,7
de_eurojackpot,2025-12-19,,8,9,15,35,45,2,5
de_eurojackpot,2025-12-16,,12,22,28,30,31,4,11
de_eurojackpot,2025-12-12,,2,25,27,37,50,2,11
de_eurojackpot,2025-12-09,,2,30,32,33,37,2,9
de_eurojackpot,2025-12-05,,1,4,18,22,24,6,10
de_eurojackpot,2025-12-02,,14,30,34,35,40,4,6
de_eurojackpot,2025-11-28,,12,16,35,46,50,3,5
de_eurojackpot,2025-11-25,,1,23,30,35,46,4,8
de_eurojackpot,2025-11-21,,15,24,30,45,50,5,6
de_eurojackpot,2025-11-18,,19,25,27,41,49,3,9
de_eurojackpot,2025-11-14,,3,5,20,30,37,6,12
de_eurojackpot,2025-11-11,,8,24,25,41,50,8,9
de_eurojackpot,2025-11-07,,13,19,22,35,40,2,8
de_eurojackpot,2025-11-04,,3,21,22,33,39,1,9
de_eurojackpot,2025-10-31,,5,11,40,41,47,1,5
de_eurojackpot,2025-10-28,,3,4,22,45,50,9,12
de_eurojackpot,2025-10-24,,12,13,27,42,43,3,4
de_eurojackpot,2025-10-21,,6,21,30,40,46,3,4
de_eurojackpot,2025-10-17,,18,21,34,35,46,2,3
de_eurojackpot,2025-10-14,,8,12,13,49,50,2,4
de_eurojackpot,2025-10-10,,4,5,24,31,41,3,12
